iter	Passed	Remaining
408	4525	6539
409	4530	6520
410	4536	6501
411	4542	6482
412	4548	6464
413	4555	6447
414	4560	6428
415	4566	6411
416	4637	6483
417	4656	6482
418	4696	6512
419	4729	6531
420	4752	6535
421	4761	6521
422	4767	6503
423	4773	6484
424	4779	6466
425	4787	6450
426	4796	6436
427	4803	6420
428	4810	6403
429	4818	6387
430	4824	6369
431	4833	6354
432	4843	6341
433	4850	6325
434	4858	6310
435	4866	6295
436	4927	6347
437	4936	6333
438	4947	6323
439	4957	6310
440	4963	6292
441	4970	6275
442	4977	6259
443	4983	6241
444	4990	6224
445	5000	6210
446	5008	6195
447	5021	6187
448	5028	6171
449	5035	6154
450	5050	6148
451	5064	6140
452	5075	6128
453	5083	6114
454	5091	6098
455	5098	6082
456	5106	6067
457	5115	6053
458	5121	6035
459	5127	6019
460	5133	6002
461	5140	5986
462	5145	5968
463	5150	5950
464	5156	5932
465	5161	5915
466	5167	5897
467	5173	5880
468	5179	5863
469	5184	5846
470	5224	5867
471	5239	5860
472	5250	5850
473	5266	5844
474	5279	5835
475	5305	5840
476	5334	5849
477	5354	5847
478	5363	5833
479	5369	5816
480	5376	5801
481	5387	5789
482	5400	5780
483	5408	5766
484	5415	5750
485	5422	5735
486	5429	5719
487	5436	5704
488	5443	5688
489	5454	5676
490	5464	5664
491	5472	5650
492	5486	5641
493	5506	5640
494	5515	5626
495	5522	5611
496	5529	5596
497	5536	5581
498	5547	5569
499	5554	5554
500	5559	5537
501	5566	5522
502	5573	5507
503	5580	5491
504	5586	5475
505	5592	5459
506	5597	5443
507	5603	5427
508	5627	5428
509	5650	5428
510	5664	5420
511	5676	5410
512	5688	5399
513	5701	5391
514	5728	5394
515	5750	5394
516	5769	5389
517	5787	5385
518	5795	5371
519	5802	5355
520	5808	5339
521	5814	5324
522	5821	5309
523	5829	5295
524	5836	5280
525	5846	5268
526	5857	5256
527	5865	5242
528	5881	5236
529	5896	5228
530	5913	5223
531	5935	5221
532	5947	5210
533	5954	5195
534	5964	5184
535	5972	5169
536	5978	5154
537	5983	5138
538	5989	5122
539	5996	5107
540	6002	5092
541	6008	5077
542	6015	5062
543	6020	5046
544	6029	5033
545	6036	5019
546	6042	5004
547	6049	4989
548	6056	4975
549	6062	4960
550	6092	4964
551	6099	4950
552	6107	4936
553	6113	4921
554	6121	4908
555	6133	4898
556	6140	4883
557	6146	4868
558	6152	4853
559	6157	4838
560	6163	4822
561	6169	4808
562	6175	4793
563	6181	4778
564	6185	4762
565	6190	4747
566	6197	4733
567	6203	4718
568	6208	4703
569	6215	4688
570	6220	4673
571	6226	4659
572	6262	4666
573	6315	4687
574	6334	4682
575	6352	4676
576	6382	4678
577	6392	4667
578	6398	4652
579	6405	4638
580	6410	4623
581	6416	4608
582	6421	4593
583	6433	4583
584	6450	4575
585	6460	4564
586	6469	4551
587	6477	4538
588	6483	4524
589	6489	4509
590	6496	4496
591	6502	4481
592	6510	4468
593	6516	4454
594	6525	4441
595	6539	4432
596	6548	4420
597	6560	4410
598	6571	4399
599	6577	4385
600	6588	4374
601	6595	4360
602	6602	4346
603	6608	4332
604	6615	4319
605	6622	4305
606	6628	4291
607	6634	4277
608	6640	4263
609	6673	4266
610	6711	4272
611	6761	4286
612	6786	4284
613	6803	4277
614	6812	4264
615	6821	4252
616	6827	4238
617	6833	4223
618	6840	4210
619	6849	4198
620	6863	4188
621	6874	4177
622	6882	4164
623	6888	4150
624	6894	4136
625	6902	4123
626	6909	4110
627	6916	4097
628	6923	4083
629	6929	4069
630	6934	4055
631	6942	4042
632	6949	4029
633	6955	4015
634	6964	4002
635	6980	3995
636	6991	3984
637	7002	3973
638	7009	3960
639	7019	3948
640	7025	3934
641	7031	3921
642	7037	3907
643	7044	3894
644	7049	3880
645	7055	3866
646	7061	3852
647	7067	3839
648	7073	3825
649	7129	3839
650	7189	3854
651	7212	3849
652	7227	3840
653	7235	3827
654	7242	3814
655	7247	3800
656	7260	3790
657	7275	3781
658	7284	3769
659	7293	3757
660	7300	3744
661	7306	3730
662	7313	3717
663	7320	3704
664	7325	3690
665	7336	3679
666	7355	3672
667	7367	3661
668	7374	3648
669	7381	3635
670	7387	3622
671	7398	3611
672	7405	3598
673	7411	3584
674	7417	3571
675	7422	3557
676	7426	3543
677	7431	3529
678	7436	3515
679	7443	3502
680	7449	3489
681	7455	3476
682	7461	3463
683	7467	3449
684	7532	3463
685	7551	3456
686	7580	3453
687	7609	3450
