iter	RMSE
0	274596.9192
1	249590.8409
2	227936.0975
3	208577.1142
4	191003.8281
5	176189.1046
6	163537.638
7	151371.8346
8	140385.0094
9	131424.1896
10	123610.7241
11	116562.5306
12	110385.2107
13	104639.6062
14	100390.2163
15	96091.19412
16	91551.54596
17	88559.74717
18	84734.03158
19	82299.95063
20	79822.0272
21	77735.56909
22	75715.12398
23	74243.8781
24	72645.7851
25	70592.94808
26	68938.98629
27	67741.52153
28	66583.07506
29	65635.17426
30	64820.03685
31	63511.66471
32	62758.52053
33	61724.39329
34	61031.22804
35	60364.56613
36	59361.20827
37	58503.624
38	57590.34348
39	57042.2076
40	56511.99635
41	55799.73137
42	55290.17027
43	54838.69621
44	53974.10541
45	53060.7392
46	52596.0616
47	51835.16024
48	51166.22537
49	50471.25452
50	49984.7876
51	49597.04013
52	49227.97974
53	48553.65026
54	47802.50581
55	47480.69751
56	47143.67894
57	46735.11331
58	46194.63652
59	45888.8613
60	45282.78972
61	44847.79124
62	44329.02211
63	44020.7579
64	43643.77972
65	43404.13371
66	42919.53657
67	42676.46407
68	42218.11036
69	41857.9788
70	41516.53063
71	41296.01786
72	40791.16934
73	40423.52264
74	39994.71116
75	39761.10789
76	39412.05699
77	39197.54942
78	39013.31651
79	38741.42763
80	38411.23147
81	38157.56688
82	37892.87421
83	37657.18953
84	37422.02918
85	37221.97303
86	36995.94283
87	36549.76532
88	36260.2241
89	35981.81647
90	35841.9642
91	35719.72861
92	35413.04642
93	35236.70522
94	34884.7196
95	34662.49298
96	34467.80053
97	34297.92443
98	34071.74977
99	33846.96163
100	33762.96675
101	33509.44279
102	33298.22127
103	33009.86149
104	32828.85074
105	32671.64474
106	32478.48549
107	32195.79808
108	32007.57534
109	31810.69894
110	31612.19158
111	31460.94903
112	31270.57822
113	31125.58523
114	30930.85373
115	30764.32746
116	30595.95164
117	30473.5992
118	30338.47035
119	30151.55874
120	29949.65307
121	29796.27703
122	29699.91854
123	29619.10088
124	29509.28424
125	29393.9449
126	29246.68523
127	29085.48604
128	28975.33623
129	28862.11695
130	28734.63788
131	28595.40081
132	28468.8155
133	28358.92954
134	28168.2441
135	28062.40206
136	27922.54955
137	27793.90974
138	27676.05092
139	27614.45787
140	27491.38354
141	27334.55897
142	27239.34608
143	27178.25648
144	27069.25655
145	26907.61238
146	26814.08465
147	26673.21724
148	26601.65233
149	26467.22798
150	26301.74383
151	26200.14634
152	26092.85522
153	25951.53007
154	25837.46123
155	25746.34055
156	25690.5621
157	25590.9508
158	25451.89517
159	25406.98055
160	25358.4269
161	25261.43434
162	25155.53558
163	25073.49225
164	24975.62446
165	24895.21528
166	24784.97851
167	24697.16467
168	24640.49569
169	24583.36847
170	24484.45205
171	24432.99695
172	24309.62928
173	24202.77374
174	24148.66097
175	24043.39999
176	23921.5883
177	23830.37086
178	23780.21194
179	23663.50549
180	23592.01887
181	23532.72236
182	23472.49895
183	23392.13647
184	23323.68963
185	23237.90844
186	23184.84273
187	23123.64905
188	23042.59214
189	22934.44445
190	22881.59367
191	22799.66571
192	22749.4943
193	22694.11109
194	22626.1619
195	22538.27477
196	22446.37577
197	22403.45793
198	22318.09101
199	22253.94112
200	22229.65334
201	22165.00202
202	22122.24367
203	22075.79907
204	21976.51174
205	21901.41788
206	21830.6041
207	21750.21325
208	21657.62984
209	21588.41691
210	21524.85632
211	21441.93647
212	21373.56711
213	21305.45537
214	21236.0597
215	21177.36736
216	21118.97725
217	21057.38279
218	20999.93405
219	20920.24791
220	20887.43618
221	20832.91086
222	20771.06357
223	20701.60405
224	20635.56879
225	20542.14952
226	20491.6573
227	20446.01403
228	20392.18325
229	20339.43683
230	20313.8359
231	20263.43246
232	20209.5708
233	20162.36765
234	20103.94351
235	20054.81139
236	20011.8425
237	19969.47554
238	19925.01503
239	19887.7108
240	19838.52704
241	19790.3935
242	19726.70248
243	19677.93182
244	19615.50517
245	19578.47128
246	19523.46336
247	19494.37076
248	19461.98841
249	19430.42674
250	19388.85204
251	19354.53403
252	19296.77193
253	19263.88136
254	19221.05358
255	19175.80405
256	19127.56422
257	19066.62626
258	19019.95584
259	18983.4262
260	18930.63351
261	18910.74273
262	18861.86313
263	18828.02507
264	18784.8033
265	18751.53435
266	18729.98493
267	18676.98665
268	18625.49711
269	18572.69367
270	18526.80055
271	18470.26788
272	18428.82406
273	18383.22111
274	18351.43159
275	18310.27188
276	18273.4595
277	18251.50584
278	18219.67464
279	18177.17291
280	18130.60651
281	18092.99339
282	18066.82684
283	18013.29393
284	17970.06134
285	17911.09779
286	17873.15617
287	17826.6649
288	17800.34385
289	17771.21564
290	17752.64659
291	17710.16907
292	17671.76148
293	17653.03892
294	17616.49272
295	17572.93865
296	17534.98846
297	17487.02044
298	17450.26527
299	17430.0947
300	17385.59114
301	17351.66666
302	17325.61249
303	17298.9309
304	17263.03188
305	17236.54683
306	17203.30377
307	17175.65209
308	17154.60113
309	17104.16722
310	17071.17255
311	17035.30081
312	17012.00371
313	16987.94238
314	16952.44172
315	16920.58058
316	16890.41347
317	16843.56271
318	16804.9239
319	16779.44216
320	16735.84374
321	16701.92343
322	16675.87465
323	16642.20082
324	16622.18888
325	16590.73447
326	16563.05143
327	16530.65149
328	16504.64174
329	16485.61876
330	16451.39014
331	16420.29099
332	16402.18586
333	16374.64516
334	16347.08372
335	16321.89096
336	16288.42861
337	16258.30484
338	16234.01749
339	16205.99873
340	16176.42901
341	16148.5508
342	16120.02069
343	16092.75226
344	16065.20928
345	16041.78835
346	16007.16324
347	15976.95623
348	15956.37211
349	15943.14653
350	15915.69179
351	15879.53365
352	15853.77558
353	15823.39619
354	15793.82042
355	15779.07554
356	15757.67317
357	15735.61792
358	15718.40542
359	15692.68455
360	15675.18024
361	15656.13156
362	15631.55339
363	15611.6677
364	15580.93625
365	15554.4179
366	15530.81007
367	15507.51641
368	15482.03505
369	15468.18387
370	15433.44445
371	15413.18887
372	15382.47928
373	15363.39142
374	15339.36538
375	15317.63969
376	15294.35754
377	15271.6685
378	15262.86393
379	15234.77955
380	15213.66866
381	15182.44342
382	15167.60122
383	15135.69183
384	15112.52827
385	15082.33964
386	15067.3869
387	15038.18757
388	15018.21287
389	14997.65459
390	14977.55302
391	14947.01561
392	14926.57606
393	14902.52534
394	14877.07194
395	14857.34123
396	14830.79616
397	14799.92436
398	14780.35258
399	14766.89182
400	14732.87904
401	14707.48163
402	14697.06786
403	14678.27751
404	14659.47125
405	14635.89137
406	14615.98023
407	14599.97692
408	14582.09214
409	14564.2899
410	14545.22173
411	14527.61108
412	14512.63513
413	14494.48134
414	14472.78333
415	14455.34808
416	14430.08677
417	14412.27972
418	14395.67035
419	14375.32143
420	14351.63127
421	14329.66678
422	14312.93139
423	14288.99101
424	14271.30771
425	14244.66167
426	14220.58614
427	14198.5219
428	14179.1795
429	14164.02384
430	14140.73147
431	14115.46494
432	14096.60755
433	14078.75326
434	14059.97321
435	14043.4383
436	14025.93119
437	14011.26498
438	13995.73825
439	13981.32497
440	13962.70356
441	13947.91889
442	13929.50966
443	13907.76697
444	13886.28971
445	13865.82336
446	13848.2068
447	13830.62847
448	13809.11803
449	13790.92458
450	13767.70261
451	13751.65991
452	13733.49987
453	13719.15702
454	13698.45058
455	13677.03414
456	13653.92349
457	13643.30729
458	13623.21883
459	13603.4311
460	13587.75675
461	13564.03853
462	13543.47412
463	13525.88031
464	13507.04583
465	13492.6519
466	13477.70018
467	13460.66637
468	13443.22898
469	13424.60171
470	13411.35971
471	13401.25786
472	13381.21355
473	13363.47653
474	13345.57045
475	13329.40092
476	13319.20047
477	13309.07054
478	13299.04961
479	13283.49788
480	13269.87303
481	13254.46475
482	13244.31201
483	13225.19072
484	13215.15878
485	13202.58861
486	13189.43266
487	13178.99974
488	13164.73646
489	13152.73637
490	13136.95625
491	13121.50104
492	13107.27576
493	13092.54668
494	13080.47945
495	13070.27913
496	13049.377
497	13037.18431
498	13028.58345
499	13016.47718
500	12990.28794
501	12978.23644
502	12958.76879
503	12942.38965
504	12924.46444
505	12912.63181
506	12893.44157
507	12880.50533
508	12865.5539
509	12848.79057
510	12834.53477
511	12821.76111
512	12803.73956
513	12786.28033
514	12773.79852
515	12759.55615
516	12743.48572
517	12728.19302
518	12715.82338
519	12702.94496
520	12682.91681
521	12668.60869
522	12649.70104
523	12632.60669
524	12615.91667
525	12605.32569
526	12589.40728
527	12581.1376
528	12567.4937
529	12549.64182
530	12535.52481
531	12520.32749
532	12506.9766
533	12492.53077
534	12481.07893
535	12472.74031
536	12463.89658
537	12451.08342
538	12444.29365
539	12436.12744
540	12424.84836
541	12412.09821
542	12396.63937
543	12385.95717
544	12370.90453
545	12357.45282
546	12345.2505
547	12327.33539
548	12317.19441
549	12306.87321
550	12295.05154
551	12283.9966
552	12271.20167
553	12259.86373
554	12247.11894
555	12229.96313
556	12219.19799
557	12208.62852
558	12193.87053
559	12183.16154
560	12168.60165
561	12158.07791
562	12149.09145
563	12133.51384
564	12118.12786
565	12105.37591
566	12091.66201
567	12075.4456
568	12062.68182
569	12047.75052
570	12029.39734
571	12018.80755
572	12009.22888
573	11999.88677
574	11991.11758
575	11985.85719
576	11976.04502
577	11964.77096
578	11953.57651
579	11940.18361
580	11931.84415
581	11919.64954
582	11904.7719
583	11891.83602
584	11882.04858
585	11865.55479
586	11856.92885
587	11842.4921
588	11829.13249
589	11817.39933
590	11806.14838
591	11789.85337
592	11779.15913
593	11767.9205
594	11759.50117
595	11748.09327
596	11736.91067
597	11726.72413
598	11709.35397
599	11698.88579
600	11690.17787
601	11677.48253
602	11664.703
603	11654.56389
604	11643.53284
605	11633.33562
606	11625.60336
607	11617.30424
608	11602.97837
609	11593.41175
610	11581.20746
611	11570.91647
612	11562.3397
613	11554.66676
614	11545.71357
615	11531.58302
616	11514.2656
617	11504.67418
618	11489.9805
619	11476.53688
620	11464.34878
621	11457.8571
622	11450.03565
623	11437.52434
624	11424.20836
625	11414.6557
626	11405.08402
627	11399.41443
628	11385.82598
629	11372.29455
630	11360.70302
631	11351.88402
632	11343.4718
